TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2023-09-21 16:46:35.844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:46:35.908,-4.173405673187665,0.4267375672986404,0.7259365770113528,1.734868813545842,-4.242668337754828,0.1114545996459355,-0.2395809547704748,1.672039176377129,-4.282374157795525,0.2495254471223537,0.4152230884573353,1.830232560348342,-3.771662897425183,0.2924676503011708,0.3882829031162868,1.508275577175668,-3.910765242505707,0.2687034240414992,0.5324986301300559,1.023736639868362,0,774.0293040293041,821.5750915750916,857.032967032967,622.9304029304029,0.066956,0.205627,0.960205,-1.263580,-4.770203,4.717865,1,4,1,1,4,55.000000
2023-09-21 16:46:36.040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-09-21 16:46:36.652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:46:36.872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:46:36.909,-4.173405673187665,0.7219025401086822,0.964594404541565,1.734868813545842,-4.242668337754828,-0.0276267227362807,-0.04290251177253623,1.672039176377129,-4.282374157795525,0.3233117768440779,0.4183776320026245,1.830232560348342,-3.771662897425183,0.4883142274207561,0.3528738581622323,1.508275577175668,-3.910765242505707,0.2595464611594143,0.3586615117443455,1.023736639868362,0,801.4285714285714,807.0695970695971,1364.725274725275,796.996336996337,0.107727,0.225037,0.956421,3.207550,-4.613190,1.540222,1,4,1,1,4,55.000000
2023-09-21 16:46:37.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:46:37.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:46:37.868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:46:37.868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-09-21 16:46:37.909,-4.173405673187665,0.5007313362071256,0.6833953201553209,1.734868813545842,-4.242668337754828,-0.1474573843450602,0.176463208193109,1.672039176377129,-4.282374157795525,0.3040407655397582,0.5287929175075524,1.830232560348342,-3.771662897425183,0.4944105408296793,0.3215628519448859,1.508275577175668,-3.910765242505707,0.3189979626655929,0.4729150907773002,1.023736639868362,1631.062271062271,789.7435897435897,808.6813186813187,1339.74358974359,905.7875457875458,-0.044128,0.232605,0.961487,0.074768,38.812103,-7.574005,1,4,1,1,4,55.000000
2023-09-21 16:46:38.909,-4.173405673187665,0.01330793722060755,0.3826771436591141,1.734868813545842,-4.242668337754828,-0.004964768672689437,0.2334704676002458,1.672039176377129,-4.282374157795525,0.3404216270607608,0.5828272473435309,1.830232560348342,-3.771662897425183,0.417583294781544,0.3149980416090695,1.508275577175668,-3.910765242505707,0.3183284328680778,0.4048396388338338,1.023736639868362,1624.615384615385,749.4505494505495,806.2637362637363,523.4065934065934,891.2820512820513,-0.626648,0.178040,0.753113,-2.811279,2.654266,21.600494,1,4,1,1,4,50.000000
2023-09-21 16:46:39.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:46:39.603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-09-21 16:46:39.908,-4.173405673187665,0.1254300109274183,0.6284917423119217,1.734868813545842,-4.242668337754828,0.1328252346209204,0.2920033586578413,1.672039176377129,-4.282374157795525,0.2550666385803668,0.4528352898949816,1.830232560348342,-3.771662897425183,0.4254600972621196,0.317121359325594,1.508275577175668,-3.910765242505707,0.3219974980380879,0.1628577482122426,1.023736639868362,454.9084249084249,799.4139194139194,803.8461538461539,0,830.0366300366301,-0.525574,0.158875,0.820740,2.347717,-5.308533,-4.022522,1,4,1,1,4,50.000000
2023-09-21 16:46:40.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-09-21 16:46:40.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:46:40.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
